Unnamed: 0,Timeline for Project,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
,We are sooting for a 12-week Launch time frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Milestone 1: Foundation & Compliance (Weeks 1–4),,,,,,Milestone 2: Infrastructure & Tools (Weeks 4–6),,,,,,Milestone 3: Content & Creative Assets (Weeks 6–8),,,,,,Milestone 4: Marketing & Outreach (Weeks 8–12),,,,,,Milestone 5: Launch Campaign (Week 12+),,,,
,,,,,,,"Goal: Set up platforms for fundraising, sales, and community.",,,,,,Goal: Develop the book’s visual identity and core campaign media.,,,,,,Goal: Launch public-facing campaign and build credibility.,,,,,,Goal: Official rollout of the book series and fundraising pipeline.,,,,
,Dependencies: none – these must come first,,,,,,Dependencies: Bank account + SuperPAC need to exist for integrations to work.,,,,,,"Dependencies: Some of these can start earlier (like book cover design), but final integration requires the infrastructure (landing page, donation setup).",,,,,,Dependencies: Needs creative assets + functioning landing page.,,,,,,Dependencies: Everything before this feeds into the public push.,,,,
,Task,Status,Deadline,Owner,Notes:,,Task,Status,Owner,Deadline,Notes:,,Task,Priority,Status,Owner,Notes:,,Task,Priority,Status,Owner,Notes:,,Task,Priority,Status,Owner,Notes:
,1.1 Set up SuperPAC,WAITING,,,,,2.1 Anedot demo & setup ( donations ),DEPENDENCY,,,,,3.1 Book conver finalized,,,,,,Landing page live ( with donation + pre order options),,,,,,Anounce Lunch date with videos + landing page,,,,
,  MISSION & IDENTITY,,,,,,2.1.1 Gather Pac Info,,,,,,Website ,,,,DRAFT,,,,,,,,,,,,
,1.1.1 Define mission & Identity,APPROVED,,,,,2.1.2 Create Anedot Account,,,,,,Landing page,,,,DRAFT,,Targe 50 orgs list ourreach campaign launched,,,,,,begin selling books + merch through shipify / printful,,,,
,1.1.2  Choose PAC name,APPROVED,,,,,2.1.3 Configure Financial Setting,,,,,,PAC BRANDING,,,,DRAFT,,,,,,,,Host engagement events ( better mode community),,,,
,1.1.3  Draft Public-facing descriptin of purpose,WAITING,,,,,2.1.4 Build Donation / Action Pages,,,,,,,,,,,,,,,,,,,,,,
,LEAGAL & ENTITY FORMATION,,,,,,2.1.5 Add Disclaimers & Compliance Info for SUPERPAC,,,,,,,,,,,,,,,,,,,,,,
,1.1.4  Obtain EIN  (IRS Employer Identification Number),WAITING,,,,,2.1.6 Virtual Terminal / Offline Donation setup,,,,,,Landing page video produced,,,,,,,,,,,,,,,,
,1.1.5 Decide entity structure 501(c)(4),APPROVED,,,,,2.1.7 Team Permissions & Roles ,,,,,,Icebreaker content crafted ( conversation starter),,,,,,,,,,,,,,,,
,1.1.6  Appoint Treasurer (Debbie),APPROVED,,,,,2.1.8 Site Tested ,,,,,,,,,,,,,,,,,,,,,,
,1.1.7  Appoint Custodian of Records (Debbie)?,NEED INPUT,,,,,2.1.9 Reporting & Reconcile ,,,,,,,,,,,,,,,,,,,,,,
,1.1.8  Draft Internal Governance Policies ,WAITING,,,DRAFT,,2.2 Set up Shopify ,DEPENDENCY,,,,,,,,,,,,,,,,,,,,,
,FINANCIAL SET UP,,,,,,Account basic set up,,,,,,,,,,,,,,,,,,,,,,
,1.1.9 Open dedicated bank account for PAC funds ONLY,WAITING,,,,,"2.2.1 Create shopify account with Pac leagal name EIN, Address and Pac info",,,,,,,,,,,,,,,,,,,,,,
,1.1.10. Choose compliance -friendly payment proceccor ( Anedot ),APPROVED,,,,,2.2.2 Set store name consistent with PAC branding,,,,,,,,,,,,,,,,,,,,,,
,"1.1.11  Establish bookeeping system ( QuicBooks, airtable or custom tracker)",NEED INPUT,,,,,2.2.3 Add official PAC email + phone for contact,,,,,,,,,,,,,,,,,,,,,,
,"1.1.12. Confirm donor record keeping system (Must track name, address, occupation, employer for >$200 donars)",APPROVED,,,,,Leagal Pages & Disclaimers ,,,,,,,,,,,,,,,,,,,,,,
,REGISTRATION & COMPLIANCE,,,,,,2.2.4 Privacy Policy page,,,,,,,,,,,,,,,,,,,,,,
,1.1.13 File FEC form ( statement of Organization ) withing 10 days of raising / spending $1000,NEED INPUT,,,DRAFT,,2.2.5 Fund / Retrurn Policy page,,,,,,,,,,,,,,,,,,,,,,
,1.1.14 File letter of intent for Independent expeditures ( to designate as super pac),NEED INPUT,,,DRAFT,,2.2.6 Contribution Riles page,,,,,,,,,,,,,,,,,,,,,,
,1.1.15 Choose filing schedule ( monthly or quarterly),WAITING,,,,,2.2.7 Contrubution Rules page,,,,,,,,,,,,,,,,,,,,,,
,"1.1.16 Establish compliance chalendar ( report deadlines, 24-and 48-hour notice triggers)",NEED INPUT,,,,,2.2.8 FEC reporting Notice page,,,,,,,,,,,,,,,,,,,,,,
,"1.1.17 Draft Disclaimers for ads ('paid for by...Not authorized by..."")",NEED INPUT,,,DRAFT IN TAB,,2.2.9 Footer disclaimer ,,,,,,,,,,,,,,,,,,,,,,
,FUNDRAISING & OPERATIONS,,,,,,Products & Pricing ,,,,,,,,,,,,,,,,,,,,,,
,"1.1.18 Build donor pipeling (Outreach,initial contacts, priority orgs list)",,,,,,2.2.10 Conduct Pring (or another POD vendor ) to Shopify,,,,,,,,,,,,,,,,,,,,,,
,"1.1.19 creat fundraising plan ( donations, crowd funding, events, merch via printful / shopify)",,,,,,2.2.11 Create Product listing with PAC branding ,,,,,,,,,,,,,,,,,,,,,,
,1.1.20 Produce compliance -approved crowdfunding video,,,,,,2.2.12 Include fair market value (FMV) in each product description  “FMV $20. Remaining contribution supports [Super PAC Name].”,,,,,,,,,,,,,,,,,,,,,,
,"1.1.21 Draft donor communicatins templates ( pledge form, welcome letter, FAQ)",,,,DRAFT,,"2.2.13 For bundles, split FMV vs contribution clearly",,,,,,,,,,,,,,,,,,,,,,
,OUTREACH & PUBLIC LAUNCH,,,,,,Checkout & Payments,,,,,,,,,,,,,,,,,,,,,,
,1.1.22 Design landing page ,,,,,,2.2.14 Enable Shopify Payments or stripe/PayPal (PAC bank account). ,,,,,,,,,,,,,,,,,,,,,,
,1.1.23 Produce landing page video,,,,,,"2.2.15 Add donor certification checkbox ( citizenship, nofederal contractors, lawfunds). ",,,,,,,,,,,,,,,,,,,,,,
,1.1.24 Build 50 orgs target outreach list,,,,,,"2.2.16 Collect donor data: name, address, occupation, employer (required if >$200/year aggregate).",,,,,,,,,,,,,,,,,,,,,,
,"1.1.25 Write & publish ""commitment statement"" Publicy ",,,,DRAFT,,2.2.17 Edit checkout fonfirmation +email receipts to include disclaimer + tax notice: “Contributions are not tax-deductible. Paid for by [Super PAC Name]…”,,,,,,,,,,,,,,,,,,,,,,
,1.1.26. Draft initial press release / media kit,,,,DRAFT,,Sales Tax & State Compliance ,,,,,,,,,,,,,,,,,,,,,,
,Conduct first icebreaker event / content drop,,,,,,2.2.18 Enable Shopify's tax setting. ,,,,,,,,,,,,,,,,,,,,,,
,1.2 Draft & sign Scott Agreement ,,,,,,2.2.19 Register for state sales tax where required. ,,,,,,,,,,,,,,,,,,,,,,
,1.3 Onesheet Icebreaker,,,,,,2.2.20 Verify reporting obligations for PAC merch. ( Sales + Contributions).,,,,,,,,,,,,,,,,,,,,,,
,,,,,LINK,,Data & reporting ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2.2.21 Integrate shopify with Airtable (or PAC's donor database).,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2.2.22 Sync order data with FEC reporting requirements. ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2.2.23 Run test reports to confirm donor info exports correctly,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Design & Branding ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"2.2.24 choose clean, mobile drendly theme ( E.G. Dawn, impact)",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"2.2.25 Homepage hero section: mission statement ( ""Every purchase fules the fight to end America's debt in 8 years"").",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"2.2.26 Add a""Commitment Statement"" page to reinforce mission. ",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Testing,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2.2.27 Rund test orders ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2.2.28 verify disclaimers appear n checkout and receipts,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2.2.29 confirm donor certification is mandatory,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2.2.30 confirm funds deposit into PAC bank account,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2.2.31 Test mobile UX thoroughly,,,,,,,,,,,,,,,,,,,,,,
,,,,,,, Launch,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2.2.32 Feature mission - driven lunch products ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"2.2.33 Push thought the PAC email list, landing page and outreach camaigns",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"2.2.34 Promot urgency ""limited launch run"" or ""First 100 suporters edition.""",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2.3 Printful Setup Checklist ( For Shopify + Super PAC),DEPENDENCY,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Create a Printful Account using PAC Email + official details,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,add billing information,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Enable multi-user access if multiple staff will manage others,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Store Integrations,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,From printful dashboard ➡️ Stores ➡️ connect to Shopify,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Approve integration in Shopify,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Verify producs sync both ways ( inventory, pricing, fulfillment",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Branding Settings ( White - Lable Fulfillment),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Upload PAC logo to printful branding settings ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,add PAC return address ( Office or PO Box) ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Customize packing slips with ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Logo,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Discalimer: ""paid for by [Super PAC Name]. Not authorised by any candidate ro candidat's committee. Contributions are not tax-deductible.""",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"FMV lne: ""Fair market value of this item is $X. Remaining balance supports [Super PAC NAME]",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Produce Setup,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Upload high - resolutin artwork(logos, solgans, campaig visuals).",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Select core products ( shirts,hats, mugs, totes,posters).",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Generate mockups ➡️ replace generic images with branded / lifestyle mockups. ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Define variants ( sezes, colors, styles).",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Publish to shopify with ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FMV statement in description,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,compliance discalamer ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,refund/return policy aligned with PAC rules,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Pricing & Compliance,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Set up prontful base cost + PAC markup,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Publish FMV disclosre"" FMV of this shirt is $15.Remaining payment supports [Super PAC Name].""",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Add ""contrigutions are not tax -deductable"" notice to product pages and checkout. ",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Ensure donations vs. Purchase distinction is clearly expalained in FAQs,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Shipping & Fulfillment,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Configure Printful shipping ""flat ratge, real-time, or free).",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Add shippping times ( 7-14 days typical) to Shopify FAQ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Enable automatic order routing to back u suppliers. ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Test shipping profiles for accuracy,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Donor Data & Checkout,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Shopify check out must collect donor info,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,full name,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,address,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,occupation & employer (required if >$200/year aggregate),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Add mandatory donor certification checkbox: "" I certify I am a U.S. citizen or lawful permanent resident, not a federalcontractor, and making this contrigution with my own funds.""",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Edit order confirmation Emails ➡️ add disclaimer + FMV note:,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Testing & Quality Control,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Place discounted sample orders for every new product,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"confirm print quality, alighment, and sizing",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Test multiple Shipify orders ( single item, bungle, recurring if ordered)>",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Verify orders auto - fulfill in Printful and sync with Shopify,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Check donor compliance feilds in order export,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Reporting & Analytics ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Use printful ""statistics"" sadhboard to track revenue, fulfillment costs, and margins. ",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Reconcile Printful + Shoify reports with PAC donor database (Airtable/Quickbooks),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Confirm FEC-Required donor info is properly logged,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Shcedule montnly internal compliance reviews,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Customer Support & Refunds,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Create PAC support email/phone for order questions,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Add customer service info to confirmation emails.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Align refund policy with ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Printful's defect/damage policy,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,PAC's unlauful contrubution refund requirement (within 30 days).,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Keep clear documentation of all refunds for FEC reporting,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Launch & Expansion,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Launch with 3-5 core products (KISS),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Announce store on PAC website, mailing list, and landing page. ",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Promote urgency with limited edition drops or timed bundles ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Use Printful's multi store option for campaign-specific merch (optional).,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2.3.1 Approved mockups for Merch,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2.4 Bettermode UI design (community hub ready),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2.5 Airtable or Google doc tracker live,,,,,,,,,,,,,,,,,,,,,,
